epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,15450.3,1.26083,0.76764,0.99761,0.64465,0.45438,0.50751,0.30132,1.75228,1.42209,1.25843,0.006865,0.006865,0.006865
97,15610.5,1.2653,0.7696,0.99814,0.64675,0.45548,0.50804,0.30126,1.75209,1.41979,1.25825,0.006832,0.006832,0.006832
98,15770,1.26428,0.76818,0.99814,0.64535,0.45627,0.50831,0.30158,1.75195,1.41999,1.25828,0.006799,0.006799,0.006799
99,15928.5,1.26597,0.76857,0.99823,0.64991,0.45458,0.5084,0.30181,1.75194,1.41928,1.25821,0.006766,0.006766,0.006766
100,16090.8,1.26197,0.76557,0.99534,0.65074,0.45468,0.50868,0.30203,1.7507,1.4182,1.25774,0.006733,0.006733,0.006733
101,16250.5,1.26254,0.76756,0.99637,0.65113,0.45534,0.50922,0.30243,1.74967,1.41642,1.25734,0.0067,0.0067,0.0067
102,16411.3,1.25864,0.76285,0.99787,0.65122,0.45625,0.50938,0.30232,1.7485,1.41609,1.25695,0.006667,0.006667,0.006667
103,16571.3,1.26045,0.76299,0.99651,0.6544,0.45652,0.50959,0.30241,1.74786,1.41464,1.25657,0.006634,0.006634,0.006634
104,16730.4,1.25906,0.76242,0.9942,0.65359,0.45674,0.50947,0.30236,1.74795,1.41294,1.25643,0.006601,0.006601,0.006601
105,16894,1.25874,0.7587,0.99416,0.65598,0.45635,0.50949,0.30259,1.74762,1.41337,1.2563,0.006568,0.006568,0.006568
106,17055.3,1.25568,0.75859,0.99363,0.65403,0.45699,0.50964,0.30251,1.74673,1.41322,1.25575,0.006535,0.006535,0.006535
107,17215.3,1.25522,0.75899,0.99425,0.65684,0.4564,0.50976,0.30268,1.74622,1.41303,1.25534,0.006502,0.006502,0.006502
