epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,33174,1.27891,0.80672,0.99782,0.63249,0.45092,0.49177,0.2806,1.7572,1.54569,1.23973,0.005842,0.005842,0.005842
128,33430.6,1.27582,0.80387,0.99669,0.6334,0.45074,0.49227,0.28111,1.75683,1.54472,1.23928,0.005809,0.005809,0.005809
129,33686.9,1.27362,0.80293,0.99567,0.63276,0.45106,0.4925,0.28125,1.75596,1.54513,1.23881,0.005776,0.005776,0.005776
130,33943.7,1.2746,0.80258,0.99678,0.63142,0.45115,0.4926,0.28118,1.75525,1.54509,1.23827,0.005743,0.005743,0.005743
131,34200.3,1.27355,0.80131,0.99499,0.63065,0.45303,0.49293,0.28146,1.75528,1.54537,1.238,0.00571,0.00571,0.00571
132,34470.2,1.27553,0.80259,0.99594,0.63106,0.45226,0.49295,0.2815,1.75579,1.54593,1.23798,0.005677,0.005677,0.005677
133,34731.5,1.26886,0.79846,0.99415,0.63206,0.45224,0.49307,0.28175,1.75528,1.54606,1.23732,0.005644,0.005644,0.005644
134,34988.5,1.27721,0.80236,0.99552,0.62897,0.45377,0.49317,0.28178,1.7555,1.54663,1.23725,0.005611,0.005611,0.005611
135,35244.9,1.27253,0.80144,0.99466,0.62813,0.45322,0.49326,0.282,1.7553,1.54614,1.2369,0.005578,0.005578,0.005578
136,35502.1,1.27306,0.79848,0.99371,0.6313,0.45159,0.49342,0.28203,1.75478,1.54595,1.23639,0.005545,0.005545,0.005545
137,35758.6,1.26801,0.79718,0.9922,0.62992,0.4522,0.49373,0.28205,1.75468,1.54661,1.23612,0.005512,0.005512,0.005512
138,36015.7,1.27062,0.79918,0.99483,0.62393,0.45385,0.49364,0.28189,1.7548,1.54808,1.23589,0.005479,0.005479,0.005479
139,36274.1,1.27374,0.79973,0.99295,0.61926,0.45502,0.49354,0.28168,1.75493,1.54899,1.23573,0.005446,0.005446,0.005446
140,36531.2,1.26906,0.79561,0.99241,0.61922,0.45386,0.49317,0.28127,1.75493,1.54869,1.23556,0.005413,0.005413,0.005413
141,36788.6,1.26435,0.79379,0.98959,0.61433,0.45562,0.49337,0.28118,1.75515,1.5486,1.23545,0.00538,0.00538,0.00538
142,37044.6,1.26832,0.79726,0.99343,0.61911,0.45281,0.49293,0.28117,1.75537,1.54935,1.23537,0.005347,0.005347,0.005347
143,37300.6,1.26844,0.79406,0.99184,0.61961,0.45179,0.49323,0.28105,1.75577,1.54917,1.23544,0.005314,0.005314,0.005314
144,37556.9,1.26382,0.79115,0.99107,0.62477,0.44905,0.49295,0.28108,1.75523,1.55018,1.235,0.005281,0.005281,0.005281
145,37813.1,1.26594,0.79381,0.99186,0.62366,0.44858,0.49288,0.28108,1.7551,1.54986,1.23469,0.005248,0.005248,0.005248
146,38069.5,1.26378,0.79183,0.9903,0.62809,0.44776,0.49291,0.2811,1.75545,1.55076,1.23459,0.005215,0.005215,0.005215
147,38343.3,1.26593,0.78886,0.99099,0.62403,0.4494,0.49313,0.28124,1.75596,1.55217,1.23478,0.005182,0.005182,0.005182
148,38624.2,1.26107,0.78619,0.99061,0.62138,0.45241,0.49372,0.28151,1.75597,1.55356,1.23471,0.005149,0.005149,0.005149
149,38880.2,1.26097,0.78765,0.98854,0.62352,0.45265,0.49394,0.28196,1.75648,1.55405,1.23465,0.005116,0.005116,0.005116
150,39136.5,1.26267,0.78911,0.98942,0.62575,0.45189,0.49422,0.2821,1.75649,1.55388,1.23444,0.005083,0.005083,0.005083
151,39392.7,1.26286,0.79152,0.98848,0.62989,0.45025,0.4947,0.28238,1.75635,1.55356,1.23419,0.00505,0.00505,0.00505
152,39648.9,1.26108,0.78718,0.9893,0.6268,0.45315,0.49517,0.28249,1.75612,1.55335,1.23381,0.005017,0.005017,0.005017
153,39905.5,1.25873,0.78729,0.98866,0.62598,0.45321,0.49508,0.28292,1.75613,1.55368,1.2335,0.004984,0.004984,0.004984
154,40162.3,1.2615,0.79006,0.98933,0.62808,0.45116,0.49535,0.28298,1.75597,1.55403,1.23324,0.004951,0.004951,0.004951
155,40418.7,1.26383,0.78725,0.98794,0.6311,0.4498,0.49509,0.28318,1.75623,1.55327,1.23308,0.004918,0.004918,0.004918
156,40674.8,1.25768,0.78513,0.98823,0.63242,0.44919,0.49555,0.28359,1.75621,1.5528,1.23284,0.004885,0.004885,0.004885
157,40931,1.25794,0.78727,0.98705,0.63071,0.45075,0.49562,0.28369,1.75557,1.55198,1.23234,0.004852,0.004852,0.004852
158,41187.4,1.26168,0.7866,0.98882,0.62922,0.4527,0.49609,0.28363,1.75451,1.5517,1.23189,0.004819,0.004819,0.004819
159,41443.8,1.25398,0.7822,0.98585,0.62497,0.4541,0.49591,0.28358,1.75442,1.55156,1.23168,0.004786,0.004786,0.004786
160,41700.2,1.25605,0.78237,0.98598,0.62856,0.45263,0.49614,0.2839,1.75377,1.55153,1.23141,0.004753,0.004753,0.004753
161,41956.7,1.25406,0.78161,0.98624,0.62518,0.45382,0.49626,0.28434,1.75346,1.55212,1.23108,0.00472,0.00472,0.00472
162,42214.5,1.25152,0.77918,0.98491,0.63049,0.45178,0.49651,0.28458,1.75298,1.55275,1.23079,0.004687,0.004687,0.004687
163,42470.9,1.25197,0.77945,0.98557,0.63908,0.44857,0.49706,0.28475,1.75262,1.55321,1.23065,0.004654,0.004654,0.004654
164,42727.3,1.25508,0.78073,0.98622,0.63676,0.45,0.49731,0.2848,1.75265,1.55419,1.23058,0.004621,0.004621,0.004621
165,42983.7,1.25675,0.78114,0.98607,0.63781,0.44861,0.49753,0.28501,1.75284,1.55371,1.23046,0.004588,0.004588,0.004588
166,43239.9,1.24908,0.77482,0.98397,0.63744,0.44885,0.49757,0.28507,1.75302,1.5528,1.23031,0.004555,0.004555,0.004555
167,43496.2,1.25029,0.77653,0.98466,0.63832,0.44829,0.49753,0.28519,1.75258,1.55365,1.23009,0.004522,0.004522,0.004522
168,43752.2,1.24396,0.77252,0.98292,0.63782,0.44954,0.49764,0.28526,1.75249,1.55395,1.22991,0.004489,0.004489,0.004489
169,44008.6,1.25216,0.77787,0.98494,0.63473,0.4504,0.49757,0.28519,1.75167,1.55453,1.22962,0.004456,0.004456,0.004456
170,44264.9,1.25229,0.77651,0.98466,0.63031,0.45197,0.49747,0.28527,1.75106,1.55424,1.22951,0.004423,0.004423,0.004423
171,44521.1,1.25018,0.7752,0.9838,0.63049,0.45243,0.4975,0.28536,1.7509,1.55468,1.22954,0.00439,0.00439,0.00439
172,44777.2,1.25012,0.7777,0.98486,0.6319,0.45221,0.49757,0.28537,1.75054,1.55492,1.22937,0.004357,0.004357,0.004357
173,45033.3,1.24771,0.77569,0.98515,0.63071,0.45335,0.4975,0.28544,1.75049,1.55522,1.22932,0.004324,0.004324,0.004324
174,45290,1.2503,0.77498,0.98229,0.63001,0.45304,0.49769,0.28553,1.75024,1.55446,1.22923,0.004291,0.004291,0.004291
175,45546.5,1.24545,0.77301,0.98302,0.63003,0.45356,0.498,0.28577,1.75033,1.5552,1.22913,0.004258,0.004258,0.004258
176,45803.1,1.25032,0.77599,0.98366,0.63233,0.4507,0.49797,0.2858,1.75042,1.55581,1.22917,0.004225,0.004225,0.004225
177,46059.3,1.24617,0.77268,0.98324,0.62884,0.45254,0.4978,0.28589,1.75028,1.55617,1.22896,0.004192,0.004192,0.004192
178,46315.5,1.24543,0.77084,0.98178,0.6277,0.45368,0.4979,0.28613,1.74962,1.55604,1.2286,0.004159,0.004159,0.004159
179,46572,1.2433,0.76902,0.98093,0.62664,0.45302,0.49779,0.28581,1.74914,1.55748,1.22827,0.004126,0.004126,0.004126
180,46828,1.23841,0.76694,0.98085,0.62478,0.45456,0.49783,0.28566,1.74943,1.5592,1.22819,0.004093,0.004093,0.004093
181,47084.1,1.24306,0.76778,0.98058,0.62534,0.45391,0.49774,0.28604,1.7489,1.56002,1.22782,0.00406,0.00406,0.00406
182,47340.1,1.23951,0.76739,0.98139,0.62608,0.45351,0.49814,0.28594,1.74859,1.56,1.22763,0.004027,0.004027,0.004027
183,47596.5,1.24336,0.76708,0.98067,0.62744,0.45278,0.49809,0.28612,1.74873,1.55961,1.22754,0.003994,0.003994,0.003994
184,47852.5,1.24004,0.76502,0.98051,0.62466,0.4533,0.49773,0.28611,1.74906,1.56226,1.22765,0.003961,0.003961,0.003961
185,48109,1.24183,0.76631,0.97893,0.62517,0.45079,0.49764,0.28622,1.74903,1.56375,1.2274,0.003928,0.003928,0.003928
186,48365.3,1.2387,0.76405,0.97955,0.62237,0.45284,0.4975,0.28622,1.74908,1.56505,1.22729,0.003895,0.003895,0.003895
187,48622,1.2401,0.76546,0.9795,0.62028,0.45243,0.49736,0.28617,1.74876,1.56651,1.22715,0.003862,0.003862,0.003862
188,48878.1,1.23307,0.76096,0.97784,0.62119,0.45131,0.49697,0.28605,1.74848,1.5686,1.22689,0.003829,0.003829,0.003829
