                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.2461,                0.76053,                0.98846,                0.70575,                0.52491,                0.60873,                 0.3406,                 1.7468,                  1.305,                 1.2371,               0.008119,               0.008119,               0.008119
                     59,                 1.2504,                0.76127,                0.98885,                 0.7052,                0.52898,                0.61169,                0.34276,                 1.7418,                 1.2951,                 1.2355,               0.008086,               0.008086,               0.008086
                     60,                 1.2475,                0.75876,                 0.9873,                0.69792,                0.53545,                0.61243,                  0.343,                 1.7413,                  1.286,                 1.2349,               0.008053,               0.008053,               0.008053
                     61,                  1.243,                0.75315,                0.98641,                0.70334,                0.53601,                0.61316,                 0.3444,                 1.7392,                 1.2849,                 1.2332,                0.00802,                0.00802,                0.00802
                     62,                 1.2458,                0.75557,                0.98707,                0.69561,                0.53708,                0.61288,                0.34396,                 1.7388,                 1.2815,                  1.233,               0.007987,               0.007987,               0.007987
                     63,                 1.2437,                0.75621,                0.98789,                0.69705,                0.54161,                0.61515,                0.34565,                 1.7399,                 1.2762,                  1.233,               0.007954,               0.007954,               0.007954
                     64,                 1.2426,                0.75245,                0.98633,                0.70173,                0.53928,                0.61639,                0.34651,                 1.7445,                 1.2717,                 1.2365,               0.007921,               0.007921,               0.007921
                     65,                 1.2417,                0.75264,                 0.9859,                0.69682,                0.54305,                0.61718,                0.34744,                 1.7446,                 1.2645,                 1.2371,               0.007888,               0.007888,               0.007888
                     66,                  1.239,                0.75121,                0.98283,                0.69968,                0.54377,                0.61892,                0.34794,                 1.7412,                 1.2592,                 1.2354,               0.007855,               0.007855,               0.007855
                     67,                 1.2386,                0.75143,                0.98422,                0.69924,                 0.5445,                0.61999,                0.34803,                 1.7453,                   1.26,                 1.2379,               0.007822,               0.007822,               0.007822
                     68,                 1.2393,                0.75061,                0.98482,                0.69169,                0.54905,                0.62104,                 0.3485,                 1.7435,                   1.26,                 1.2366,               0.007789,               0.007789,               0.007789
                     69,                 1.2371,                 0.7483,                0.98369,                0.69977,                0.54628,                0.62231,                0.34897,                 1.7427,                 1.2599,                 1.2362,               0.007756,               0.007756,               0.007756
                     70,                 1.2395,                0.74895,                0.98405,                0.68737,                0.55442,                0.62219,                 0.3486,                 1.7441,                 1.2605,                 1.2373,               0.007723,               0.007723,               0.007723
                     71,                 1.2347,                0.74245,                0.98262,                0.69188,                0.55031,                0.62175,                0.34849,                 1.7431,                 1.2584,                 1.2367,                0.00769,                0.00769,                0.00769
                     72,                 1.2374,                0.74665,                0.98415,                0.69141,                0.55103,                0.62109,                0.34831,                 1.7433,                 1.2627,                 1.2371,               0.007657,               0.007657,               0.007657
                     73,                 1.2345,                0.74208,                0.98344,                0.69216,                0.55338,                 0.6221,                0.34854,                 1.7427,                 1.2654,                 1.2369,               0.007624,               0.007624,               0.007624
                     74,                 1.2333,                0.74283,                0.98236,                0.68872,                0.55508,                0.62247,                0.34894,                 1.7423,                 1.2699,                 1.2368,               0.007591,               0.007591,               0.007591
                     75,                 1.2356,                0.74359,                0.98302,                0.68621,                  0.554,                0.62119,                0.34869,                 1.7432,                 1.2727,                 1.2373,               0.007558,               0.007558,               0.007558
                     76,                 1.2305,                0.74104,                0.98103,                0.69036,                0.54904,                 0.6206,                0.34884,                  1.744,                 1.2733,                 1.2383,               0.007525,               0.007525,               0.007525
                     77,                 1.2299,                0.74151,                0.97964,                0.69129,                0.54894,                0.62063,                0.34934,                 1.7457,                 1.2746,                 1.2392,               0.007492,               0.007492,               0.007492
                     78,                 1.2329,                0.74099,                0.98318,                0.68895,                0.55029,                0.61995,                0.34875,                 1.7477,                 1.2742,                 1.2406,               0.007459,               0.007459,               0.007459
                     79,                 1.2309,                0.74008,                0.98026,                0.68911,                0.55045,                0.61962,                0.34853,                 1.7489,                 1.2724,                 1.2414,               0.007426,               0.007426,               0.007426
